seq_id,log_lik,true_label,evo2_pred
bsubtilis|111-177|label=0,-23.0,0,False
bsubtilis|399-483|label=1,-23.5,1,False
bsubtilis|12957-12993|label=0,-20.25,0,True
bsubtilis|14331-14376|label=0,-19.75,0,True
bsubtilis|15120-15183|label=0,-22.625,0,False
bsubtilis|15594-15630|label=0,-20.75,0,True
bsubtilis|16146-16179|label=1,-20.875,1,True
bsubtilis|16536-16578|label=1,-21.875,1,True
bsubtilis|19233-19272|label=1,-21.375,1,True
bsubtilis|19320-19383|label=1,-22.5,1,False
bsubtilis|19332-19383|label=1,-22.0,1,True
bsubtilis|19800-19851|label=1,-22.25,1,False
bsubtilis|20019-20058|label=1,-21.5,1,True
bsubtilis|20394-20439|label=1,-21.375,1,True
bsubtilis|20403-20439|label=1,-20.625,1,True
bsubtilis|20517-20586|label=0,-23.25,0,False
bsubtilis|20961-21024|label=1,-23.0,1,False
bsubtilis|21282-21354|label=1,-23.625,1,False
bsubtilis|21528-21564|label=1,-20.75,1,True
bsubtilis|21639-21705|label=1,-22.875,1,False
bsubtilis|22431-22470|label=0,-21.125,0,True
bsubtilis|23070-23115|label=0,-22.25,0,False
bsubtilis|25524-25599|label=0,-23.375,0,False
bsubtilis|25551-25599|label=0,-22.125,0,True
bsubtilis|25566-25599|label=0,-21.0,0,True
bsubtilis|26676-26727|label=0,-22.0,0,True
bsubtilis|27018-27060|label=1,-21.5,1,True
bsubtilis|27111-27147|label=1,-20.625,1,True
bsubtilis|27189-27234|label=1,-21.875,1,True
bsubtilis|27330-27366|label=1,-21.125,1,True
bsubtilis|27537-27618|label=1,-23.375,1,False
bsubtilis|27567-27618|label=1,-22.25,1,False
bsubtilis|27618-27657|label=1,-21.125,1,True
bsubtilis|29403-29463|label=1,-23.125,1,False
bsubtilis|30723-30768|label=0,-19.75,0,True
bsubtilis|31857-31923|label=0,-23.125,0,False
bsubtilis|32274-32316|label=0,-21.0,0,True
bsubtilis|32583-32652|label=0,-21.25,0,True
bsubtilis|39084-39162|label=1,-23.25,1,False
bsubtilis|39291-39321|label=1,-20.5,1,True
bsubtilis|39495-39540|label=1,-21.375,1,True
bsubtilis|40572-40653|label=1,-23.75,1,False
bsubtilis|40851-40881|label=1,-20.375,1,True
bsubtilis|42246-42279|label=1,-20.875,1,True
bsubtilis|43071-43161|label=1,-23.75,1,False
bsubtilis|46074-46134|label=1,-22.875,1,False
bsubtilis|46404-46446|label=1,-21.375,1,True
bsubtilis|46776-46857|label=1,-23.75,1,False
bsubtilis|46803-46857|label=1,-22.375,1,False
bsubtilis|46863-46899|label=1,-20.75,1,True
bsubtilis|47769-47811|label=1,-21.75,1,True
bsubtilis|47811-47853|label=1,-21.875,1,True
bsubtilis|47853-47916|label=1,-22.75,1,False
bsubtilis|50046-50097|label=0,-22.0,0,True
bsubtilis|50922-50952|label=1,-20.625,1,True
bsubtilis|51222-51264|label=1,-21.375,1,True
bsubtilis|54537-54573|label=1,-21.5,1,True
bsubtilis|54606-54666|label=1,-23.0,1,False
bsubtilis|55923-55974|label=1,-22.25,1,False
bsubtilis|56097-56133|label=1,-20.875,1,True
bsubtilis|56496-56532|label=1,-20.875,1,True
bsubtilis|56877-56961|label=1,-23.75,1,False
bsubtilis|56883-56961|label=1,-23.625,1,False
bsubtilis|56988-57072|label=1,-23.75,1,False
bsubtilis|59712-59742|label=1,-20.75,1,True
bsubtilis|60282-60360|label=1,-23.5,1,False
bsubtilis|64776-64839|label=0,-23.125,0,False
bsubtilis|65541-65583|label=1,-21.5,1,True
bsubtilis|65835-65907|label=1,-23.125,1,False
bsubtilis|66309-66342|label=1,-21.0,1,True
bsubtilis|66633-66714|label=1,-23.875,1,False
bsubtilis|66786-66876|label=1,-23.75,1,False
bsubtilis|67143-67185|label=1,-21.5,1,True
bsubtilis|67209-67254|label=1,-22.375,1,False
bsubtilis|67302-67344|label=1,-21.25,1,True
bsubtilis|67311-67344|label=1,-20.875,1,True
bsubtilis|67353-67425|label=1,-23.125,1,False
bsubtilis|69105-69150|label=1,-21.625,1,True
bsubtilis|69522-69561|label=0,-21.875,0,True
bsubtilis|70521-70611|label=1,-23.5,1,False
bsubtilis|73980-74010|label=1,-20.625,1,True
bsubtilis|74073-74133|label=1,-22.875,1,False
bsubtilis|74076-74133|label=1,-22.625,1,False
bsubtilis|76509-76584|label=1,-23.375,1,False
bsubtilis|76770-76803|label=1,-20.25,1,True
bsubtilis|79107-79158|label=1,-22.125,1,True
bsubtilis|79230-79263|label=1,-20.5,1,True
bsubtilis|79428-79467|label=1,-21.25,1,True
bsubtilis|79743-79794|label=1,-22.75,1,False
bsubtilis|81414-81504|label=1,-23.625,1,False
bsubtilis|84228-84276|label=1,-22.0,1,True
bsubtilis|85683-85755|label=1,-22.875,1,False
bsubtilis|85935-86010|label=1,-23.5,1,False
bsubtilis|86874-86949|label=1,-23.5,1,False
bsubtilis|87321-87396|label=1,-23.625,1,False
bsubtilis|87330-87396|label=1,-23.375,1,False
bsubtilis|90609-90648|label=0,-19.625,0,True
bsubtilis|91746-91818|label=0,-21.0,0,True
bsubtilis|92796-92832|label=0,-20.25,0,True
bsubtilis|93885-93921|label=0,-20.0,0,True
